adjusted_points,aps,ass,att_bps,att_points,bc,blk,br,cl,crs,cs,def_bps,def_points,elg,event_id,gc,gls,home,intc,kp,mins,og,oga,opponent,pas_bps,pcp,pe,player_id,player_name,pm,points,position_id,ps,pss,rc,round,season,sh,sv,tck,team,total_bps,wf,yc,count
1,4,0,0,0,0,0,4,0,0,0,0,0,0,968350,2,0,2,0,0,53,0,0,ATL,0,0.18181818181818182,0,442453,,0,1,,0,22,0,11,2018,0,1,0,SKC,0,0,0,1
6,4,0,0,0,0,0,1,2,0,1,0,5,0,968445,0,0,2,0,0,25,0,0,HOU,0,0.6666666666666666,0,18005,Jonathan Spector,0,6,2.0,0,6,0,19,2018,0,0,1,MIN,0,0,0,1
4,77,0,0,0,0,0,5,0,0,0,0,0,0,968445,1,0,2,1,1,90,0,0,HOU,2,0.8850574712643678,0,20525,Benny Feilhaber,0,4,3.0,0,87,0,19,2018,0,0,1,MIN,2,2,0,1
5,73,0,0,0,0,0,6,0,0,0,1,1,0,968445,1,0,2,1,0,90,0,0,HOU,2,0.948051948051948,0,28580,Lee Nguyen,0,5,3.0,0,77,0,19,2018,0,0,2,MIN,3,1,0,1
2,20,0,1,1,0,0,3,0,2,1,0,0,0,968445,0,0,2,0,3,26,0,0,HOU,0,0.8695652173913043,0,38401,Carlos Vela,0,2,4.0,0,23,0,19,2018,1,0,0,MIN,1,1,0,1
3,45,0,0,0,0,0,2,3,0,0,0,0,0,968445,1,0,2,2,1,90,0,0,HOU,1,0.9183673469387755,0,41599,Jordan Harvey,0,3,2.0,0,49,0,19,2018,0,0,0,MIN,1,0,0,1
7,34,0,0,5,0,0,3,0,0,0,0,0,0,968445,4,1,2,0,2,90,0,0,HOU,0,0.7555555555555555,0,41703,Sacha Kljestan,0,7,3.0,0,45,0,19,2018,2,0,1,MIN,0,0,0,1
3,58,0,0,0,0,0,6,0,0,0,1,1,0,968445,1,0,2,1,1,90,0,0,HOU,1,0.9206349206349206,0,42584,Laurent Ciman,0,3,2.0,0,63,0,19,2018,1,0,1,MIN,2,0,1,1
2,9,0,0,0,0,0,3,1,0,0,0,0,0,968445,4,0,2,0,1,90,0,0,HOU,0,0.9,0,60318,Dom Dwyer,0,2,4.0,0,10,0,19,2018,3,0,0,MIN,0,3,0,1
1,4,0,0,0,0,0,0,0,0,1,0,0,0,968445,0,0,2,0,0,5,0,0,HOU,0,0.8,0,77755,Marco Urena,0,1,4.0,0,5,0,19,2018,0,0,0,MIN,0,0,0,1
3,55,0,0,0,0,1,3,3,1,0,0,0,0,968445,1,0,2,3,1,90,0,0,HOU,1,0.9016393442622951,0,82845,Steven Beitashour,0,3,2.0,0,61,0,19,2018,0,0,2,MIN,1,0,0,1
0,10,0,0,0,0,0,2,0,0,0,0,-2,0,968445,4,0,2,2,0,65,0,0,HOU,0,0.8333333333333334,0,83378,Chris Schuler,0,0,2.0,0,12,0,19,2018,0,0,1,MIN,0,1,0,1
4,14,0,0,0,0,0,9,0,0,0,4,2,0,968445,4,0,2,0,0,90,0,0,HOU,0,0.5384615384615384,0,95611,Joe Bendik,0,4,1.0,0,26,0,19,2018,0,9,0,MIN,4,0,0,1
5,26,1,0,3,0,0,7,2,0,0,2,0,0,968445,4,0,2,4,1,90,0,0,HOU,0,0.7428571428571429,0,96201,Donny Toia,0,5,2.0,0,35,0,19,2018,1,0,1,MIN,2,0,0,1
4,35,0,1,1,1,0,8,0,0,0,1,1,0,968445,4,0,2,1,2,90,0,0,HOU,0,0.7608695652173914,0,98898,Yoshi Yotun,0,4,3.0,0,46,0,19,2018,1,0,2,MIN,2,1,0,1
3,36,0,0,0,0,0,7,2,1,0,2,2,0,968445,4,0,2,2,1,90,0,0,HOU,0,0.782608695652174,0,102456,Oriol Rosell,0,3,3.0,0,46,0,19,2018,1,0,4,MIN,2,0,1,1
-1,18,0,0,0,0,0,5,2,1,0,0,-2,0,968445,4,0,2,2,1,90,0,0,HOU,0,0.6923076923076923,0,110557,RJ Allen,0,-1,2.0,0,26,0,19,2018,0,0,2,MIN,0,0,1,1
0,6,0,0,0,0,0,0,1,0,0,0,-1,0,968445,2,0,2,1,1,26,0,0,HOU,0,0.75,0,110954,Mohamed El-Munir,0,0,2.0,0,8,0,19,2018,1,0,2,MIN,0,0,0,1
13,14,0,1,11,0,0,0,0,0,0,0,0,0,968445,1,2,2,0,1,85,0,0,HOU,0,0.8235294117647058,0,111847,Adama Diomande,0,13,4.0,0,17,0,19,2018,4,0,1,MIN,1,2,0,1
3,52,0,0,0,0,0,5,4,0,0,1,1,0,968445,1,0,2,1,0,90,0,0,HOU,0,0.8387096774193549,0,151933,Walker Zimmerman,0,3,2.0,0,62,0,19,2018,0,0,1,MIN,1,0,0,1
6,22,1,1,4,1,0,2,0,0,0,0,0,0,968445,1,0,2,0,1,64,0,0,HOU,0,0.8148148148148148,0,172482,Aaron Kovar,0,6,3.0,0,27,0,19,2018,1,0,2,MIN,1,1,0,1
6,20,0,0,0,0,0,6,4,0,0,4,4,0,968445,1,0,2,0,0,90,0,0,HOU,0,0.8333333333333334,0,202361,Tyler Miller,0,6,1.0,0,24,0,19,2018,0,8,0,MIN,4,0,0,1
3,19,0,0,0,0,1,6,5,0,0,3,1,1,968445,4,0,2,4,0,90,0,0,HOU,0,0.7307692307692307,0,212993,Amro Tarek,0,2,2.0,0,26,0,19,2018,0,0,0,MIN,3,0,0,1
2,14,0,1,1,1,0,3,0,0,0,0,0,0,968445,2,0,2,0,1,45,0,0,HOU,0,0.7777777777777778,0,217788,Josue Colman,0,2,3.0,0,18,0,19,2018,2,0,2,MIN,1,0,0,1
6,15,0,0,5,0,0,2,0,0,1,0,0,0,968445,0,1,2,0,1,26,0,0,HOU,0,0.8333333333333334,0,223256,Diego Rossi,0,6,4.0,0,18,0,19,2018,3,0,0,MIN,0,1,0,1
10,34,2,2,8,1,0,5,0,0,0,0,0,0,968445,1,0,2,0,3,64,0,0,HOU,0,0.8095238095238095,0,227731,Mark-Anthony Kaye,0,10,3.0,0,42,0,19,2018,3,0,1,MIN,2,1,0,1
2,10,0,0,0,0,0,1,0,0,0,0,0,0,968445,2,0,2,1,0,64,0,0,HOU,0,0.8333333333333334,0,234345,Chris Mueller,0,2,3.0,0,12,0,19,2018,2,0,1,MIN,0,0,0,1
15,27,1,4,12,2,0,6,0,0,0,1,1,0,968445,1,1,2,0,3,90,0,0,HOU,0,0.8709677419354839,0,245764,Latif Blessing,0,15,3.0,0,31,0,19,2018,6,0,1,MIN,5,3,0,1
2,35,0,0,0,0,1,2,5,0,0,1,0,0,968454,3,0,2,2,0,90,0,0,LA,1,0.9459459459459459,0,12780,Tyrone Mears,0,2,2.0,0,37,0,19,2018,0,0,0,CLB,2,1,1,1
6,29,0,0,0,0,0,2,1,0,1,0,5,0,968454,0,0,2,1,0,45,0,0,LA,0,0.8787878787878788,0,12875,DaMarcus Beasley,0,6,2.0,0,33,0,19,2018,1,0,2,CLB,0,1,0,1
19,39,0,0,12,0,1,5,0,0,1,0,5,0,968454,0,2,2,0,0,90,0,0,LA,1,0.9285714285714286,0,16854,Philippe Senderos,0,19,2.0,0,42,0,19,2018,2,0,0,CLB,1,0,1,1
3,42,0,0,0,0,0,6,4,0,0,2,2,0,968454,3,0,2,1,1,90,0,0,LA,0,0.7636363636363637,0,19825,Ibson,0,3,3.0,0,55,0,19,2018,0,0,3,CLB,2,3,1,1
2,24,0,0,0,0,0,1,0,0,1,0,1,0,968454,0,0,2,0,2,18,0,0,LA,0,0.96,0,55209,Boniek Garcia,0,2,3.0,0,25,0,19,2018,0,0,1,CLB,0,0,0,1
2,28,0,0,0,0,0,1,0,1,0,0,0,0,968454,3,0,2,1,2,90,0,0,LA,0,0.6666666666666666,0,59403,Carlos Darwin Quintero,0,2,4.0,0,42,0,19,2018,1,0,0,CLB,0,0,0,1
3,24,0,1,1,1,0,3,0,0,0,0,0,0,968454,2,0,2,0,1,72,0,0,LA,0,0.7272727272727273,0,63954,Rasmus Schuller,0,3,3.0,0,33,0,19,2018,1,0,2,CLB,1,0,0,1
5,19,0,0,0,0,0,15,0,0,0,4,3,0,968454,3,0,2,0,0,90,0,0,LA,0,0.7307692307692307,0,77521,Bobby Shuttleworth,0,5,1.0,0,26,0,19,2018,0,6,0,CLB,4,0,0,1
3,37,0,0,0,0,0,3,1,0,1,0,1,0,968454,0,0,2,1,1,72,0,0,LA,0,0.8409090909090909,0,82518,Eric Alexander,0,3,3.0,0,44,0,19,2018,0,0,3,CLB,0,0,0,1
2,26,0,0,0,0,1,3,2,0,0,0,0,0,968454,2,0,2,0,0,86,0,0,LA,0,0.8666666666666667,0,83072,Collen Warner,0,2,3.0,0,30,0,19,2018,0,0,2,CLB,0,0,0,1
8,14,0,0,0,0,0,10,0,0,1,1,6,0,968454,0,0,2,0,0,90,0,0,LA,0,0.56,0,95309,Joe Willis,0,8,1.0,0,25,0,19,2018,0,1,0,CLB,1,0,0,1
3,13,0,0,0,0,1,0,4,0,0,2,1,0,968454,3,0,2,1,0,90,0,0,LA,0,0.9285714285714286,0,95330,Michael Boxall,0,3,2.0,0,14,0,19,2018,0,0,4,CLB,2,0,0,1
11,47,0,0,0,0,0,7,4,0,1,3,8,0,968454,0,0,2,4,1,90,0,0,LA,1,0.8703703703703703,0,99108,Adolfo Machado,0,11,2.0,0,54,0,19,2018,0,0,2,CLB,4,1,0,1
4,31,0,0,0,0,0,9,1,0,0,1,1,0,968454,3,0,2,2,0,90,0,0,LA,1,0.8611111111111112,0,110596,Miguel Ibarra,0,4,3.0,0,36,0,19,2018,1,0,1,CLB,2,0,0,1
5,56,0,0,0,0,0,10,0,0,1,1,2,0,968454,0,0,2,1,1,90,0,0,LA,1,0.9180327868852459,0,117549,Darwin Ceren,0,5,3.0,0,61,0,19,2018,0,0,3,CLB,2,1,0,1
12,31,2,4,10,1,0,2,0,6,1,0,0,0,968454,0,0,2,0,4,80,0,0,LA,0,0.8157894736842105,0,119575,Romell Quioto,0,12,4.0,0,38,0,19,2018,2,0,0,CLB,4,2,0,1
7,49,0,3,3,0,0,5,0,0,1,0,1,0,968454,0,0,2,0,3,90,0,0,LA,1,0.8909090909090909,0,153399,Tomas Martinez,0,7,3.0,0,55,0,19,2018,5,0,1,CLB,4,5,0,1
1,21,0,0,0,0,0,5,2,0,0,0,0,0,968454,3,0,2,1,0,90,0,0,LA,0,0.75,0,159702,Alexi Gomez,0,1,3.0,0,28,0,19,2018,0,0,1,CLB,0,2,1,1
1,4,0,0,0,0,0,0,0,0,1,0,1,0,968454,0,0,2,0,0,4,0,0,LA,0,0.8,0,160529,Harrison Heath,0,1,3.0,0,5,0,19,2018,0,0,0,CLB,0,0,1,1
5,4,0,0,0,0,0,1,1,0,1,0,5,0,968454,0,0,2,0,0,18,0,0,LA,0,0.5714285714285714,0,164480,Eric Miller,0,5,2.0,0,7,0,19,2018,0,0,0,CLB,0,0,1,1
5,13,0,0,0,0,0,1,0,0,1,0,5,0,968454,0,0,2,0,0,45,0,0,LA,0,0.8125,0,170945,Adam Lundkvist,0,5,2.0,0,16,0,19,2018,1,0,0,CLB,0,0,1,1
14,28,1,4,12,2,0,2,0,0,1,0,0,0,968454,0,1,2,0,4,90,0,0,LA,0,0.875,0,173145,Alberth Elis,0,14,4.0,0,32,0,19,2018,6,0,1,CLB,4,1,0,1
3,11,0,1,1,0,0,1,0,0,1,0,0,0,968454,0,0,2,0,1,90,0,0,LA,0,0.6470588235294118,0,177658,Mauro Manotas,0,3,4.0,0,17,0,19,2018,4,0,0,CLB,1,0,0,1
2,37,0,0,0,0,0,4,2,0,0,0,-1,0,968454,3,0,2,1,0,90,0,0,LA,1,0.9024390243902439,0,186250,Brent Kallman,0,2,2.0,0,41,0,19,2018,0,0,1,CLB,1,3,0,1
10,42,0,0,0,0,0,6,2,1,1,2,7,0,968454,0,0,2,3,1,90,0,0,LA,1,0.9130434782608695,0,196287,Alejandro Fuenmayor,0,10,2.0,0,46,0,19,2018,1,0,4,CLB,3,0,0,1
2,8,0,0,0,0,0,1,0,0,1,0,1,0,968454,0,0,2,0,0,10,0,0,LA,0,1.0,0,198884,Memo Rodriguez,0,2,3.0,0,8,0,19,2018,0,0,0,CLB,0,0,0,1
1,7,0,0,0,0,0,1,0,0,1,0,0,0,968454,0,0,2,0,0,24,0,0,LA,0,0.7777777777777778,0,249164,Mason Toye,0,1,4.0,0,9,0,19,2018,0,0,0,CLB,0,0,0,1
12,15,1,1,4,1,2,3,1,0,1,1,6,0,968447,0,0,2,0,1,90,0,0,LAFC,0,0.7142857142857143,0,3785,Ashley Cole,0,12,2.0,0,21,0,19,2018,1,0,2,ORL,2,2,0,1
9,17,0,2,7,0,0,2,2,1,1,0,0,0,968447,0,1,2,0,1,71,0,0,LAFC,0,0.7083333333333334,1,9808,Zlatan Ibrahimovic,0,9,4.0,0,24,0,19,2018,1,0,0,ORL,2,2,0,1
2,23,0,0,0,0,0,4,1,0,0,0,0,0,968447,2,0,2,1,0,62,0,0,LAFC,0,0.8518518518518519,0,33823,Ricardo Clark,0,2,3.0,0,27,0,19,2018,1,0,2,ORL,0,0,0,1
8,27,0,0,0,0,1,3,6,0,1,1,6,0,968447,0,0,2,1,0,90,0,0,LAFC,0,0.8709677419354839,0,37740,Michael Ciani,0,8,2.0,0,31,0,19,2018,1,0,0,ORL,1,0,0,1
3,16,0,0,0,0,0,5,0,1,1,0,1,0,968447,0,0,2,0,1,82,0,0,LAFC,0,0.8421052631578947,0,40275,Giovani dos Santos,0,3,3.0,0,19,0,19,2018,3,0,0,ORL,0,1,0,1
2,26,0,1,1,1,0,0,0,0,0,0,0,0,968447,1,0,2,0,2,28,0,0,LAFC,0,0.8666666666666667,0,47681,Federico Higuain,0,2,3.0,0,30,0,19,2018,1,0,0,ORL,1,0,0,1
2,49,0,1,1,0,0,5,0,1,0,0,-2,0,968447,4,0,2,1,5,90,0,0,LAFC,1,0.8909090909090909,0,49483,Harrison Afful,0,2,2.0,0,55,0,19,2018,1,0,0,ORL,2,0,0,1
7,5,0,0,5,0,0,3,0,0,1,0,0,0,968447,0,1,2,0,1,60,0,0,LAFC,0,0.45454545454545453,0,55758,Ola Kamara,0,7,4.0,0,11,0,19,2018,2,0,0,ORL,0,1,0,1
1,10,0,0,0,0,0,1,0,0,0,0,0,0,968447,1,0,2,1,2,31,0,0,LAFC,0,0.9090909090909091,0,59848,Mike Grella,0,1,3.0,0,11,0,19,2018,0,0,0,ORL,0,0,0,1
5,20,1,0,3,0,0,3,0,0,1,0,1,0,968447,0,0,2,0,1,90,0,0,LAFC,0,0.6896551724137931,0,60152,Chris Pontius,0,5,3.0,0,29,0,19,2018,1,0,0,ORL,0,0,1,1
8,27,0,0,0,0,2,2,5,0,1,2,7,0,968447,0,0,2,1,1,90,0,0,LAFC,0,0.9642857142857143,0,63800,Jorgen Skjelvik,0,8,2.0,0,28,0,19,2018,0,0,1,ORL,2,0,1,1
9,27,1,1,4,0,2,6,0,2,1,2,3,0,968447,0,0,2,1,3,90,0,0,LAFC,0,0.8181818181818182,0,76688,Jonathan dos Santos,0,9,3.0,0,33,0,19,2018,0,0,1,ORL,3,1,0,1
6,3,0,0,0,0,0,0,2,0,1,0,5,0,968447,0,0,2,0,0,19,0,0,LAFC,0,0.75,0,78016,Sheanon Williams,0,6,2.0,0,4,0,19,2018,0,0,0,ORL,0,0,0,1
13,9,0,1,11,0,0,4,0,1,1,0,1,0,968447,0,2,2,0,0,30,0,0,LAFC,0,0.75,0,86140,Romain Alessandrini,0,13,3.0,0,12,0,19,2018,4,0,1,ORL,1,0,0,1
2,15,0,1,1,0,0,4,0,3,0,0,0,0,968447,1,0,2,1,1,45,0,0,LAFC,0,0.9375,0,92202,Pedro Santos,0,2,3.0,0,16,0,19,2018,2,0,0,ORL,1,2,0,1
1,42,0,0,0,0,1,7,0,0,0,1,-1,0,968447,4,0,2,0,1,90,0,0,LAFC,1,0.9333333333333333,0,94479,Josh Williams,0,1,2.0,0,45,0,19,2018,0,0,0,ORL,2,0,1,1
9,16,0,0,0,0,0,11,1,0,1,2,7,0,968447,0,0,2,0,0,90,0,0,LAFC,0,0.4,0,94932,David Bingham,0,9,1.0,0,40,0,19,2018,0,5,0,ORL,2,0,0,1
0,26,0,0,0,0,1,4,3,0,0,0,-2,0,968447,4,0,2,0,2,90,0,0,LAFC,0,0.7878787878787878,0,94934,Hector Jimenez,0,0,2.0,0,33,0,19,2018,0,0,2,ORL,0,0,0,1
7,20,1,0,3,0,1,5,0,0,1,1,2,0,968447,0,0,2,2,0,90,0,0,LAFC,0,0.8333333333333334,0,95277,Perry Kitchen,0,7,3.0,0,24,0,19,2018,1,0,4,ORL,1,1,0,1
5,66,0,0,0,0,0,9,2,0,0,1,1,0,968447,4,0,2,1,0,90,0,0,LAFC,2,0.88,0,148995,Wil Trapp,0,5,3.0,0,75,0,19,2018,0,0,1,ORL,3,3,0,1
3,11,0,1,1,0,0,1,1,0,0,0,0,0,968447,4,0,2,0,0,90,0,0,LAFC,0,0.6875,0,149359,Gyasi Zardes,0,3,4.0,0,16,0,19,2018,4,0,0,ORL,1,0,0,1
0,21,0,0,0,0,0,5,0,0,0,0,-2,0,968447,4,0,2,0,0,90,0,0,LAFC,0,0.875,0,164484,Zack Steffen,0,0,1.0,0,24,0,19,2018,0,1,0,ORL,0,1,0,1
2,1,0,0,0,0,0,2,0,0,1,0,1,0,968447,0,0,2,0,1,8,0,0,LAFC,0,0.25,0,168365,Emmanuel Boateng,0,2,3.0,0,4,0,19,2018,0,0,0,ORL,0,0,0,1
5,45,0,2,2,0,0,2,0,0,0,0,0,0,968447,4,0,2,0,3,90,0,0,LAFC,1,0.8823529411764706,0,179062,Eduardo Sosa,0,5,3.0,0,51,0,19,2018,5,0,0,ORL,3,3,0,1
7,23,0,0,0,0,1,3,1,0,1,0,5,0,968447,0,0,2,3,0,90,0,0,LAFC,0,0.8518518518518519,0,213213,Dave Romney,0,7,2.0,0,27,0,19,2018,0,0,3,ORL,0,0,0,1
4,28,0,0,0,0,3,6,8,0,0,4,2,1,968447,4,0,2,0,0,90,0,0,LAFC,0,0.8484848484848485,0,244927,Lalas Abubakar,0,3,2.0,0,33,0,19,2018,1,0,1,ORL,4,2,0,1
1,6,0,0,0,0,0,0,1,1,0,0,0,0,968447,2,0,2,0,1,45,0,0,LAFC,0,0.75,0,244998,Niko Hansen,0,1,3.0,0,8,0,19,2018,2,0,0,ORL,0,0,0,1
1,22,0,0,0,0,0,5,0,0,0,0,0,0,968447,2,0,2,0,1,59,0,0,LAFC,0,0.8461538461538461,0,422981,Luis Argudo,0,1,3.0,0,26,0,19,2018,3,0,0,ORL,0,0,0,1
8,20,0,0,0,0,0,6,5,0,1,2,7,0,968583,0,0,2,2,0,85,0,0,PHI,0,0.8,0,446568,Olivier Mbaizo,0,8,2.0,0,25,0,30,2018,0,0,2,SKC,2,1,1,1
1,22,0,0,0,0,0,5,1,0,0,0,0,0,968626,1,0,2,1,0,45,0,0,RSL,0,0.6875,0,423316,,0,1,,0,32,0,34,2018,0,0,2,NE,0,1,0,1
6,48,0,0,0,0,2,8,8,0,0,4,3,1,1039937,2,0,2,2,1,90,0,0,HOU,1,0.9411764705882353,0,244927,Lalas Abubakar,0,5,2.0,0,51,0,9,2019,2,0,0,CLB,5,0,0,1
1,3,0,0,0,0,0,0,0,0,1,0,0,0,1040039,0,0,2,0,0,10,0,0,NY,0,1.0,0,186262,Romario Williams,0,1,4.0,0,3,0,12,2019,0,0,0,ATL,0,0,0,1
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1040151,0,0,2,1,0,13,0,0,SJ,0,1.0,0,205295,,0,1,,0,1,0,25,2019,0,0,0,VAN,0,0,0,1
